x,y,z
7.52627,15.6522,5.31797
7.60753,15.8072,5.42159
7.68953,15.9632,5.52739
7.77226,16.12,5.6354
7.85574,16.2777,5.74566
7.93996,16.4363,5.85821
8.02492,16.5957,5.97309
8.11063,16.7558,6.09034
8.19708,16.9168,6.21
8.28428,17.0785,6.33211
8.37222,17.2409,6.45671
8.46091,17.404,6.58383
8.55034,17.5678,6.71353
8.64052,17.7323,6.84584
8.73143,17.8973,6.9808
8.82309,18.0629,7.11845
8.91549,18.2291,7.25884
9.00863,18.3958,7.40201
9.1025,18.563,7.54799
9.1971,18.7306,7.69683
9.29244,18.8986,7.84857
9.3885,19.0669,8.00326
9.48528,19.2356,8.16092
9.58279,19.4045,8.32162
9.681,19.5737,8.48537
9.77993,19.7431,8.65224
9.87956,19.9125,8.82225
9.97989,20.0821,8.99545
10.0809,20.2517,9.17188
10.1826,20.4212,9.35158
10.285,20.5907,9.53458
10.3881,20.76,9.72093
10.4918,20.9291,9.91067
10.5962,21.098,10.1038
10.7012,21.2665,10.3004
10.8068,21.4347,10.5005
10.9131,21.6024,10.7042
11.02,21.7695,10.9114
11.1275,21.936,11.1222
11.2356,22.1019,11.3366
11.3442,22.267,11.5547
11.4535,22.4313,11.7765
11.5633,22.5947,12.002
11.6736,22.7571,12.2313
11.7844,22.9184,12.4643
11.8957,23.0786,12.7012
12.0076,23.2375,12.9418
12.1199,23.3951,13.1864
12.2326,23.5512,13.4347
12.3458,23.7058,13.687
12.4594,23.8588,13.9432
12.5734,24.0101,14.2033
12.6878,24.1596,14.4673
12.8025,24.3071,14.7352
12.9175,24.4526,15.0071
13.0329,24.596,15.283
13.1485,24.7372,15.5628
13.2644,24.876,15.8465
13.3805,25.0123,16.1342
13.4968,25.1461,16.4259
13.6133,25.2771,16.7215
13.73,25.4054,17.021
13.8467,25.5307,17.3244
13.9636,25.653,17.6317
14.0805,25.7721,17.9429
14.1974,25.888,18.258
14.3143,26.0004,18.5768
14.4311,26.1093,18.8995
14.5479,26.2145,19.2258
14.6646,26.3159,19.5559
14.7811,26.4134,19.8897
14.8974,26.5069,20.2271
15.0135,26.5962,20.568
15.1293,26.6812,20.9125
15.2449,26.7617,21.2604
15.36,26.8377,21.6117
15.4748,26.909,21.9663
15.5891,26.9755,22.3241
15.703,27.037,22.6851
15.8164,27.0934,23.0492
15.9291,27.1446,23.4162
16.0413,27.1905,23.7862
16.1528,27.2309,24.1589
16.2636,27.2657,24.5343
16.3736,27.2948,24.9123
16.4828,27.3181,25.2928
16.5911,27.3354,25.6757
16.6986,27.3466,26.0607
16.8051,27.3516,26.4479
16.9105,27.3504,26.837
17.0149,27.3427,27.2279
17.1182,27.3285,27.6206
17.2203,27.3076,28.0147
17.3212,27.2801,28.4103
17.4208,27.2457,28.807
17.519,27.2044,29.2048
17.6159,27.1561,29.6036
17.7113,27.1007,30.003
17.8052,27.0381,30.403
17.8975,26.9683,30.8033
17.9882,26.8911,31.2038
18.0772,26.8066,31.6043
18.1645,26.7146,32.0047
18.25,26.6152,32.4046
18.3337,26.5082,32.8039
18.4154,26.3936,33.2024
18.4952,26.2714,33.5999
18.573,26.1416,33.9962
18.6487,26.0041,34.3911
18.7222,25.8589,34.7843
18.7936,25.706,35.1757
18.8627,25.5454,35.565
18.9295,25.3772,35.952
18.994,25.2013,36.3365
19.0561,25.0177,36.7183
19.1157,24.8266,37.0971
19.1728,24.6279,37.4728
19.2273,24.4216,37.845
19.2793,24.2079,38.2137
19.3286,23.9868,38.5785
19.3752,23.7583,38.9392
19.419,23.5226,39.2957
19.46,23.2797,39.6477
19.4982,23.0298,39.995
19.5335,22.7729,40.3374
19.5659,22.5091,40.6747
19.5954,22.2386,41.0066
19.6218,21.9615,41.333
19.6452,21.6779,41.6537
19.6655,21.388,41.9685
19.6827,21.0919,42.2772
19.6968,20.7898,42.5796
19.7078,20.4819,42.8756
19.7155,20.1682,43.1649
19.72,19.8491,43.4474
19.7213,19.5246,43.723
19.7194,19.195,43.9914
19.7141,18.8605,44.2526
19.7056,18.5212,44.5064
19.6937,18.1774,44.7527
19.6786,17.8293,44.9914
19.6601,17.4771,45.2222
19.6383,17.121,45.4452
19.6131,16.7613,45.6603
19.5846,16.3982,45.8673
19.5527,16.0319,46.0661
19.5175,15.6626,46.2567
19.4789,15.2906,46.4391
19.4371,14.9161,46.6131
19.3918,14.5394,46.7787
19.3433,14.1607,46.9359
19.2915,13.7803,47.0847
19.2364,13.3984,47.2249
19.178,13.0151,47.3567
19.1164,12.6309,47.4801
19.0515,12.2459,47.5949
18.9835,11.8603,47.7013
18.9122,11.4745,47.7992
18.8379,11.0885,47.8888
18.7604,10.7028,47.97
18.6798,10.3174,48.0428
18.5962,9.93273,48.1074
18.5095,9.54887,48.1639
18.4199,9.1661,48.2122
18.3274,8.78463,48.2525
18.232,8.40467,48.2848
18.1337,8.02643,48.3093
18.0326,7.65012,48.326
17.9288,7.27594,48.3351
17.8223,6.90408,48.3366
17.7131,6.53474,48.3308
17.6013,6.16808,48.3176
17.487,5.8043,48.2974
17.3701,5.44355,48.2701
17.2509,5.08602,48.2359
17.1292,4.73184,48.195
17.0052,4.38119,48.1475
16.879,4.03419,48.0936
16.7506,3.691,48.0335
16.62,3.35173,47.9672
16.4873,3.01653,47.895
16.3526,2.6855,47.817
16.2159,2.35875,47.7334
16.0773,2.0364,47.6444
15.9369,1.71853,47.5501
15.7947,1.40524,47.4507
15.6508,1.09662,47.3463
15.5053,0.792738,47.2372
15.3582,0.493666,47.1236
15.2095,0.19947,47.0055
15.0594,-0.0897943,46.8832
14.9079,-0.374074,46.7568
14.7551,-0.653325,46.6265
14.601,-0.927509,46.4926
14.4457,-1.19659,46.355
14.2893,-1.46055,46.2141
14.1318,-1.71935,46.07
13.9733,-1.973,45.9229
13.8138,-2.22147,45.7728
13.6535,-2.46476,45.6201
13.4923,-2.70287,45.4648
13.3304,-2.9358,45.3071
13.1677,-3.16358,45.1471
13.0044,-3.3862,44.9851
12.8405,-3.6037,44.8211
12.676,-3.81608,44.6553
12.5111,-4.02339,44.4878
12.3458,-4.22565,44.3189
12.1801,-4.42289,44.1485
12.014,-4.61516,43.9769
11.8477,-4.80249,43.8042
11.6812,-4.98493,43.6305
11.5146,-5.16253,43.4559
11.3478,-5.33534,43.2806
11.181,-5.5034,43.1046
11.0141,-5.66678,42.9281
10.8473,-5.82554,42.7512
10.6806,-5.97972,42.5741
10.514,-6.1294,42.3967
10.3476,-6.27464,42.2192
10.1813,-6.4155,42.0416
10.0154,-6.55205,41.8642
9.84969,-6.68435,41.687
9.68435,-6.81248,41.5099
9.51938,-6.9365,41.3333
9.35482,-7.05649,41.157
9.19071,-7.17251,40.9813
9.02708,-7.28465,40.8061
8.86396,-7.39296,40.6315
8.70139,-7.49754,40.4576
8.5394,-7.59844,40.2845
8.37802,-7.69574,40.1122
8.21728,-7.78952,39.9407
8.05722,-7.87985,39.7702
7.89785,-7.96681,39.6007
7.7392,-8.05046,39.4321
7.5813,-8.13089,39.2647
7.42418,-8.20816,39.0983
7.26786,-8.28234,38.9331
7.11235,-8.35352,38.7691
6.9577,-8.42176,38.6063
6.8039,-8.48714,38.4448
6.65099,-8.54971,38.2845
6.49898,-8.60957,38.1256
6.3479,-8.66676,37.9679
6.19775,-8.72137,37.8117
6.04856,-8.77346,37.6568
5.90034,-8.8231,37.5033
5.75311,-8.87035,37.3512
5.60687,-8.91527,37.2006
5.46165,-8.95795,37.0514
5.31745,-8.99842,36.9037
5.1743,-9.03677,36.7574
5.03218,-9.07305,36.6126
4.89113,-9.10731,36.4694
4.75115,-9.13963,36.3276
4.61224,-9.17006,36.1873
4.47442,-9.19865,36.0485
4.33769,-9.22546,35.9112
4.20206,-9.25055,35.7754
4.06753,-9.27397,35.6411
3.93411,-9.29578,35.5084
3.80182,-9.31602,35.3771
3.67064,-9.33475,35.2473
3.54058,-9.35202,35.1191
3.41166,-9.36788,34.9923
3.28386,-9.38236,34.867
3.1572,-9.39553,34.7433
3.03167,-9.40743,34.6209
2.90728,-9.41809,34.5001
2.78403,-9.42757,34.3807
2.66191,-9.43591,34.2628
2.54093,-9.44314,34.1463
2.42109,-9.44932,34.0313
2.30239,-9.45447,33.9176
2.18482,-9.45864,33.8054
2.06839,-9.46186,33.6946
1.95308,-9.46418,33.5852
1.83891,-9.46563,33.4771
1.72586,-9.46623,33.3705
1.61394,-9.46603,33.2651
1.50314,-9.46507,33.1611
1.39346,-9.46336,33.0585
1.28489,-9.46094,32.9571
1.17744,-9.45785,32.8571
1.07108,-9.45411,32.7584
0.96583,-9.44976,32.6609
0.861674,-9.44481,32.5646
0.75861,-9.4393,32.4697
0.656631,-9.43325,32.3759
0.555732,-9.42669,32.2834
0.455908,-9.41964,32.1921
0.357152,-9.41213,32.1019
0.259459,-9.40419,32.013
0.162823,-9.39582,31.9251
0.0672363,-9.38707,31.8385
-0.0273067,-9.37794,31.753
-0.120813,-9.36846,31.6685
-0.213289,-9.35865,31.5852
-0.304743,-9.34852,31.503
-0.395181,-9.33811,31.4218
-0.48461,-9.32742,31.3417
-0.573038,-9.31647,31.2627
-0.660472,-9.30528,31.1846
-0.746921,-9.29387,31.1076
-0.83239,-9.28226,31.0316
-0.916889,-9.27045,30.9566
-1.00042,-9.25847,30.8825
-1.083,-9.24633,30.8094
-1.16464,-9.23404,30.7373
-1.24533,-9.22162,30.6661
-1.3251,-9.20908,30.5958
-1.40393,-9.19643,30.5264
-1.48186,-9.18368,30.4579
-1.55888,-9.17086,30.3903
-1.635,-9.15796,30.3236
-1.71023,-9.145,30.2577
-1.78458,-9.132,30.1926
-1.85805,-9.11895,30.1284
-1.93066,-9.10588,30.065
-2.00241,-9.09279,30.0024
-2.07331,-9.07969,29.9406
-2.14338,-9.06658,29.8796
-2.21261,-9.05349,29.8194
-2.28102,-9.04041,29.7599
-2.34861,-9.02735,29.7011
-2.4154,-9.01433,29.6431
-2.48139,-9.00135,29.5859
-2.54659,-8.98841,29.5293
-2.61101,-8.97553,29.4734
-2.67465,-8.9627,29.4183
-2.73753,-8.94995,29.3638
-2.79966,-8.93727,29.31
-2.86103,-8.92466,29.2569
-2.92167,-8.91214,29.2044
-2.98157,-8.89971,29.1525
-3.04076,-8.88737,29.1013
-3.09922,-8.87514,29.0508
-3.15698,-8.86301,29.0008
-3.21404,-8.85098,28.9514
-3.27041,-8.83907,28.9027
-3.3261,-8.82728,28.8545
-3.38111,-8.81561,28.8069
-3.43545,-8.80407,28.7599
-3.48914,-8.79265,28.7135
-3.54218,-8.78137,28.6676
-3.59457,-8.77023,28.6222
-3.64632,-8.75922,28.5774
-3.69745,-8.74835,28.5332
-3.74796,-8.73763,28.4894
-3.79786,-8.72706,28.4462
-3.84715,-8.71664,28.4035
-3.89585,-8.70637,28.3613
-3.94395,-8.69626,28.3196
-3.99147,-8.6863,28.2783
-4.03842,-8.6765,28.2376
-4.0848,-8.66687,28.1974
-4.13062,-8.6574,28.1576
-4.17589,-8.64809,28.1182
-4.22061,-8.63895,28.0794
-4.2648,-8.62997,28.0409
-4.30845,-8.62117,28.003
-4.35158,-8.61253,27.9654
-4.39419,-8.60407,27.9284
-4.43628,-8.59578,27.8917
-4.47788,-8.58767,27.8554
-4.51898,-8.57973,27.8196
-4.55958,-8.57196,27.7842
-4.59971,-8.56437,27.7492
-4.63935,-8.55696,27.7146
-4.67853,-8.54973,27.6804
-4.71724,-8.54268,27.6466
-4.7555,-8.5358,27.6131
-4.7933,-8.5291,27.5801
-4.83066,-8.52259,27.5474
-4.86758,-8.51625,27.5151
-4.90406,-8.5101,27.4832
-4.94012,-8.50412,27.4517
-4.97576,-8.49832,27.4205
-5.01099,-8.49271,27.3896
-5.04581,-8.48728,27.3592
-5.08022,-8.48202,27.329
-5.11424,-8.47695,27.2992
-5.14787,-8.47205,27.2698
-5.18111,-8.46734,27.2407
-5.21397,-8.46281,27.2119
-5.24646,-8.45845,27.1835
-5.27858,-8.45428,27.1554
-5.31034,-8.45028,27.1276
-5.34174,-8.44647,27.1001
-5.37278,-8.44283,27.073
-5.40348,-8.43937,27.0461
-5.43384,-8.43608,27.0196
-5.46387,-8.43297,26.9934
-5.49356,-8.43004,26.9675
-5.52292,-8.42728,26.9419
-5.55196,-8.4247,26.9166
-5.58069,-8.42229,26.8916
-5.60911,-8.42005,26.8669
-5.63722,-8.41799,26.8425
-5.66503,-8.41609,26.8183
-5.69254,-8.41437,26.7945
-5.71975,-8.41282,26.7709
-5.74668,-8.41144,26.7477
-5.77333,-8.41022,26.7247
-5.7997,-8.40918,26.702
-5.8258,-8.40829,26.6795
-5.85162,-8.40758,26.6574
-5.87718,-8.40703,26.6355
-5.90248,-8.40664,26.6139
-5.92752,-8.40642,26.5925
-5.95231,-8.40635,26.5714
-5.97685,-8.40645,26.5506
-6.00115,-8.40671,26.5301
-6.0252,-8.40712,26.5098
-6.04902,-8.40769,26.4897
-6.07261,-8.40842,26.4699
-6.09597,-8.4093,26.4504
-6.1191,-8.41034,26.4311
-6.14201,-8.41153,26.4121
-6.16471,-8.41287,26.3934
-6.18719,-8.41436,26.3748
-6.20946,-8.416,26.3566
-6.23153,-8.41779,26.3385
-6.25339,-8.41973,26.3208
-6.27505,-8.42181,26.3032
-6.29652,-8.42403,26.2859
-6.31779,-8.4264,26.2689
-6.33888,-8.42891,26.2521
-6.35978,-8.43156,26.2355
-6.3805,-8.43436,26.2191
-6.40104,-8.43728,26.203
-6.4214,-8.44035,26.1872
-6.44159,-8.44355,26.1715
-6.46161,-8.44688,26.1561
-6.48146,-8.45035,26.141
-6.50115,-8.45395,26.126
-6.52068,-8.45768,26.1113
-6.54005,-8.46154,26.0968
-6.55926,-8.46552,26.0826
-6.57833,-8.46963,26.0686
-6.59724,-8.47387,26.0548
-6.61601,-8.47823,26.0412
-6.63463,-8.48271,26.0278
-6.65311,-8.48731,26.0147
-6.67145,-8.49203,26.0018
-6.68966,-8.49687,25.9891
-6.70773,-8.50183,25.9767
-6.72567,-8.5069,25.9644
-6.74348,-8.51208,25.9524
-6.76117,-8.51738,25.9406
-6.77873,-8.52278,25.929
-6.79617,-8.5283,25.9176
-6.81349,-8.53392,25.9065
-6.8307,-8.53965,25.8955
-6.84779,-8.54549,25.8848
-6.86476,-8.55143,25.8743
-6.88163,-8.55747,25.864
-6.89839,-8.56361,25.8539
-6.91504,-8.56985,25.8441
-6.93159,-8.57619,25.8344
-6.94803,-8.58262,25.825
-6.96438,-8.58915,25.8157
-6.98063,-8.59578,25.8067
-6.99678,-8.60249,25.7979
-7.01284,-8.6093,25.7893
-7.0288,-8.61619,25.7809
-7.04467,-8.62317,25.7727
-7.06046,-8.63024,25.7647
-7.07616,-8.63739,25.7569
-7.09177,-8.64463,25.7494
-7.1073,-8.65194,25.742
-7.12274,-8.65934,25.7349
-7.13811,-8.66681,25.7279
-7.1534,-8.67437,25.7212
-7.16861,-8.68199,25.7146
-7.18374,-8.68969,25.7083
-7.1988,-8.69747,25.7022
-7.21379,-8.70531,25.6962
-7.2287,-8.71323,25.6905
-7.24355,-8.72121,25.685
-7.25832,-8.72925,25.6797
-7.27303,-8.73737,25.6746
-7.28768,-8.74554,25.6696
-7.30226,-8.75378,25.6649
-7.31677,-8.76208,25.6604
-7.33122,-8.77043,25.6561
-7.34562,-8.77885,25.652
-7.35995,-8.78732,25.648
-7.37422,-8.79584,25.6443
-7.38844,-8.80441,25.6408
-7.4026,-8.81304,25.6375
-7.4167,-8.82172,25.6344
-7.43075,-8.83044,25.6314
-7.44475,-8.83921,25.6287
-7.45869,-8.84802,25.6261
-7.47259,-8.85688,25.6238
