Iteration,p(0.05),p(0.10),p(0.30),p(0.60),p(0.75),p(0.80),p(0.95)
794,0.43,2.22,3.79,4.28,1.17,0.69,0
795,0.43,2.22,3.92,4.22,1.17,0.69,0
796,0.43,2.22,3.59,4.28,1.17,0.69,0
797,0.43,2.22,3.75,4.32,1.17,0.69,0
798,0.43,2.22,3.45,4.18,1.17,0.69,0
799,0.43,2.22,3.4,4.23,1.17,0.69,0
800,0.43,2.22,3.58,4.27,1.17,0.69,0
801,0.43,2.22,3.58,4.29,1.17,0.69,0
802,0.43,2.22,3.45,4.11,1.17,0.69,0
803,0.43,2.22,3.37,4.19,1.17,0.69,0
804,0.43,2.22,3.36,4.05,1.17,0.69,0
805,0.43,2.22,3.5,4.09,1.17,0.69,0
806,0.43,2.22,3.56,4.33,1.17,0.69,0
807,0.43,2.22,3.71,4.12,1.17,0.69,0
808,0.43,2.22,3.7,4.27,1.17,0.69,0
809,0.43,2.22,3.76,4.35,1.17,0.69,0
810,0.43,2.22,3.87,4.31,1.17,0.69,0
811,0.43,2.22,4.1,4.4,1.17,0.69,0
812,0.43,2.22,3.71,4.48,1.17,0.69,0
813,0.43,2.22,3.94,4.38,1.17,0.69,0
814,0.43,2.22,3.82,4.45,1.17,0.69,0
815,0.43,2.22,3.77,4.45,1.17,0.69,0
816,0.43,2.22,3.9,4.42,1.17,0.69,0
817,0.43,2.22,3.88,4.4,1.17,0.69,0
818,0.43,2.22,3.91,4.57,1.17,0.69,0
819,0.43,2.22,3.91,4.35,1.17,0.69,0
820,0.43,2.22,3.95,4.35,1.17,0.69,0
821,0.43,2.22,3.8,4.45,1.17,0.69,0
822,0.43,2.22,4.01,4.54,1.17,0.69,0
823,0.43,2.22,4.02,4.37,1.17,0.69,0
824,0.43,2.22,3.9,4.56,1.17,0.69,0
825,0.43,2.22,4.06,4.42,1.17,0.69,0
826,0.43,2.22,3.97,4.61,1.17,0.69,0
827,0.43,2.22,4.29,4.52,1.17,0.69,0
828,0.43,2.22,3.93,4.4,1.17,0.69,0
829,0.43,2.22,4.01,4.54,1.17,0.69,0
830,0.43,2.22,3.81,4.67,1.17,0.69,0
831,0.43,2.22,4,4.56,1.17,0.69,0
832,0.43,2.22,3.86,4.55,1.17,0.69,0
833,0.43,2.22,3.75,4.78,1.17,0.69,0
834,0.43,2.22,3.53,4.54,1.17,0.69,0
835,0.43,2.22,3.44,4.7,1.17,0.69,0
836,0.43,2.22,3.57,4.75,1.17,0.69,0
837,0.43,2.22,3.36,4.51,1.17,0.69,0
838,0.43,2.22,3.4,4.67,1.17,0.69,0
839,0.43,2.22,3.41,4.64,1.17,0.69,0
840,0.43,2.22,3.34,4.55,1.17,0.69,0
841,0.43,2.22,3.45,4.48,1.17,0.69,0
842,0.43,2.22,3.38,4.57,1.17,0.69,0
843,0.43,2.22,3.46,4.62,1.17,0.69,0
844,0.43,2.22,3.57,4.49,1.17,0.69,0
845,0.43,2.22,3.56,4.5,1.17,0.69,0
846,0.43,2.22,3.56,4.37,1.17,0.69,0
847,0.43,2.22,3.87,4.44,1.17,0.69,0
848,0.43,2.22,3.64,4.48,1.17,0.69,0
849,0.43,2.22,3.88,4.44,1.17,0.69,0
850,0.43,2.22,3.86,4.41,1.17,0.69,0
851,0.43,2.22,4.15,4.62,1.17,0.69,0
852,0.43,2.22,3.92,4.5,1.17,0.69,0
853,0.43,2.22,4.2,4.4,1.17,0.69,0
854,0.43,2.22,4.01,4.57,1.17,0.69,0
855,0.43,2.22,4.18,4.45,1.17,0.69,0
856,0.43,2.22,4.28,4.64,1.17,0.69,0
857,0.43,2.22,4.38,4.58,1.17,0.69,0
858,0.43,2.22,4.35,4.7,1.17,0.69,0
859,0.43,2.22,4.47,4.44,1.17,0.69,0
860,0.43,2.22,4.5,4.66,1.17,0.69,0
861,0.43,2.22,4.44,4.46,1.17,0.69,0
862,0.43,2.22,4.63,4.67,1.17,0.69,0
863,0.43,2.22,4.48,4.66,1.17,0.69,0
864,0.43,2.22,4.43,4.48,1.17,0.69,0
865,0.43,2.22,4.46,4.58,1.17,0.69,0
866,0.43,2.22,4.28,4.43,1.17,0.69,0
867,0.43,2.22,4.36,4.31,1.17,0.69,0
868,0.43,2.22,4.22,4.27,1.17,0.69,0
869,0.43,2.22,4.41,4.49,1.17,0.69,0
870,0.43,2.22,4.09,4.25,1.17,0.69,0
871,0.43,2.22,4.21,4.37,1.17,0.69,0
872,0.43,2.22,4.04,4.49,1.17,0.69,0
873,0.43,2.22,3.91,4.41,1.17,0.69,0
874,0.43,2.22,3.88,4.61,1.17,0.69,0
875,0.43,2.22,3.99,4.67,1.17,0.69,0
876,0.43,2.22,3.77,4.6,1.17,0.69,0
877,0.43,2.22,3.78,4.58,1.17,0.69,0
878,0.43,2.22,3.72,4.74,1.17,0.69,0
879,0.43,2.22,3.67,4.55,1.17,0.69,0
880,0.43,2.22,3.83,4.72,1.17,0.69,0
881,0.43,2.22,3.79,4.72,1.17,0.69,0
882,0.43,2.22,3.67,4.69,1.17,0.69,0
883,0.43,2.22,3.7,4.44,1.17,0.69,0
884,0.43,2.22,3.82,4.41,1.17,0.69,0
885,0.43,2.22,3.84,4.42,1.17,0.69,0
886,0.43,2.22,3.86,4.46,1.17,0.69,0
887,0.43,2.22,4.05,4.53,1.17,0.69,0
888,0.43,2.22,4.04,4.39,1.17,0.69,0
889,0.43,2.22,4.04,4.54,1.17,0.69,0
890,0.43,2.22,3.96,4.57,1.17,0.69,0
891,0.43,2.22,4.13,4.32,1.17,0.69,0
892,0.43,2.22,3.79,4.38,1.17,0.69,0
893,0.43,2.22,3.85,4.44,1.17,0.69,0
894,0.43,2.22,4.06,4.3,1.17,0.69,0
895,0.43,2.22,3.81,4.28,1.17,0.69,0
896,0.43,2.22,3.9,4.53,1.17,0.69,0
897,0.43,2.22,3.85,4.38,1.17,0.69,0
898,0.43,2.22,3.82,4.56,1.17,0.69,0
899,0.43,2.22,3.75,4.75,1.17,0.69,0
900,0.43,2.22,3.76,4.67,1.17,0.69,0
901,0.43,2.22,3.78,4.76,1.17,0.69,0
902,0.43,2.22,3.84,4.91,1.17,0.69,0
903,0.43,2.22,3.65,4.86,1.17,0.69,0
904,0.43,2.22,3.89,5.01,1.17,0.69,0
905,0.43,2.22,3.68,4.87,1.17,0.69,0
906,0.43,2.22,3.45,4.72,1.17,0.69,0
907,0.43,2.22,3.4,4.78,1.17,0.69,0
908,0.43,2.22,3.4,4.86,1.17,0.69,0
909,0.43,2.22,3.4,4.6,1.17,0.69,0
910,0.43,2.22,3.4,4.7,1.17,0.69,0
911,0.43,2.22,3.58,4.64,1.17,0.69,0
912,0.43,2.22,3.64,4.73,1.17,0.69,0
913,0.43,2.22,3.74,4.59,1.17,0.69,0
914,0.43,2.22,3.68,4.68,1.17,0.69,0
915,0.43,2.22,3.64,4.56,1.17,0.69,0
916,0.43,2.22,3.52,4.54,1.17,0.69,0
917,0.43,2.22,3.54,4.65,1.17,0.69,0
918,0.43,2.22,3.61,4.67,1.17,0.69,0
919,0.43,2.22,3.64,4.71,1.17,0.69,0
920,0.43,2.22,3.75,4.9,1.17,0.69,0
921,0.43,2.22,3.75,4.72,1.17,0.69,0
922,0.43,2.22,3.68,4.94,1.17,0.69,0
923,0.43,2.22,3.86,5.03,1.17,0.69,0
924,0.43,2.22,3.9,4.95,1.17,0.69,0
925,0.43,2.22,3.81,5.05,1.17,0.69,0
926,0.43,2.22,4.04,5.4,1.17,0.69,0
927,0.43,2.22,4,5.29,1.17,0.69,0
928,0.43,2.22,4.06,5.57,1.17,0.69,0
929,0.43,2.22,4.1,5.5,1.17,0.69,0
930,0.43,2.22,3.87,5.49,1.17,0.69,0
931,0.43,2.22,4.14,5.2,1.17,0.69,0
932,0.43,2.22,4.18,5.35,1.17,0.69,0
933,0.43,2.22,4.13,5.27,1.17,0.69,0
934,0.43,2.22,4.24,5.36,1.17,0.69,0
935,0.43,2.22,4.31,5.27,1.17,0.69,0
936,0.43,2.22,4.58,5.22,1.17,0.69,0
937,0.43,2.22,4.31,5.16,1.17,0.69,0
938,0.43,2.22,4.59,5.28,1.17,0.69,0
939,0.43,2.22,4.32,5,1.17,0.69,0
940,0.43,2.22,4.57,5.29,1.17,0.69,0
941,0.43,2.22,4.47,5.43,1.17,0.69,0
942,0.43,2.22,4.51,5.51,1.17,0.69,0
943,0.43,2.22,4.49,5.27,1.17,0.69,0
944,0.43,2.22,4.47,5.26,1.17,0.69,0
945,0.43,2.22,4.23,5.2,1.17,0.69,0
946,0.43,2.22,4.46,4.94,1.17,0.69,0
947,0.43,2.22,3.95,5.24,1.17,0.69,0
948,0.43,2.22,3.97,5.04,1.17,0.69,0
949,0.43,2.22,3.83,5.14,1.17,0.69,0
950,0.43,2.22,3.78,5.05,1.17,0.69,0
951,0.43,2.22,3.96,5.06,1.17,0.69,0
952,0.43,2.22,3.73,5.03,1.17,0.69,0
953,0.43,2.22,3.75,5.08,1.17,0.69,0
954,0.43,2.22,3.96,4.81,1.17,0.69,0
955,0.43,2.22,3.68,4.86,1.17,0.69,0
956,0.43,2.22,3.6,4.75,1.17,0.69,0
957,0.43,2.22,3.7,4.76,1.17,0.69,0
958,0.43,2.22,3.71,4.68,1.17,0.69,0
959,0.43,2.22,3.9,5.08,1.17,0.69,0
960,0.43,2.22,3.81,4.81,1.17,0.69,0
961,0.43,2.22,3.94,4.84,1.17,0.69,0
962,0.43,2.22,3.62,4.91,1.17,0.69,0
963,0.43,2.22,3.77,4.66,1.17,0.69,0
964,0.43,2.22,3.75,4.8,1.17,0.69,0
965,0.43,2.22,3.9,4.77,1.17,0.69,0
966,0.43,2.22,3.88,4.71,1.17,0.69,0
967,0.43,2.22,4.02,4.66,1.17,0.69,0
968,0.43,2.22,3.85,4.94,1.17,0.69,0
969,0.43,2.22,4.01,4.83,1.17,0.69,0
970,0.43,2.22,3.83,4.99,1.17,0.69,0
971,0.43,2.22,3.94,5.18,1.17,0.69,0
972,0.43,2.22,3.81,5.33,1.17,0.69,0
973,0.43,2.22,3.85,5.09,1.17,0.69,0
974,0.43,2.22,3.62,5.32,1.17,0.69,0
975,0.43,2.22,3.88,5.19,1.17,0.69,0
976,0.43,2.22,3.68,5.25,1.17,0.69,0
977,0.43,2.22,3.77,4.97,1.17,0.69,0
978,0.43,2.22,3.67,4.93,1.17,0.69,0
979,0.43,2.22,3.8,4.97,1.17,0.69,0
980,0.43,2.22,3.75,4.86,1.17,0.69,0
981,0.43,2.22,3.7,4.67,1.17,0.69,0
982,0.43,2.22,3.88,4.6,1.17,0.69,0
983,0.43,2.22,3.74,4.57,1.17,0.69,0
984,0.43,2.22,3.9,4.55,1.17,0.69,0
985,0.43,2.22,3.74,4.46,1.17,0.69,0
986,0.43,2.22,3.69,4.43,1.17,0.69,0
987,0.43,2.22,3.74,4.6,1.17,0.69,0
988,0.43,2.22,3.55,4.59,1.17,0.69,0
989,0.43,2.22,3.47,4.45,1.17,0.69,0
990,0.43,2.22,3.56,4.27,1.17,0.69,0
991,0.43,2.22,3.53,4.34,1.17,0.69,0
992,0.43,2.22,3.56,4.42,1.17,0.69,0
993,0.43,2.22,3.65,4.42,1.17,0.69,0
994,0.43,2.22,3.68,4.33,1.17,0.69,0
995,0.43,2.22,3.85,4.33,1.17,0.69,0
996,0.43,2.22,3.67,4.22,1.17,0.69,0
997,0.43,2.22,3.96,3.96,1.17,0.69,0
998,0.43,2.22,3.83,3.92,1.17,0.69,0
999,0.43,2.22,4.04,3.95,1.17,0.69,0
